last_name, first_name,player_id,year,p_era,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,meatball_swing_percent,iz_contact_percent,whiff_percent,swing_percent,
Tomlin, Josh,458708,2016,4.40,62.7,10.1,34.5,28.5,70.6,73.5,89.1,16.8,48.4,
Gonzalez, Gio,461829,2016,4.57,64.1,16.2,27.8,35.9,63.4,68.6,81.3,23,44.2,
Estrada, Marco,462136,2016,3.48,67.1,20.6,27.4,37.8,61.5,77.5,78.8,26.1,45.8,
Nova, Ivan,467100,2016,4.17,66,8.5,35.3,39.1,60.9,70.9,90.6,20.3,49.5,
Hellickson, Jeremy,476451,2016,3.71,66.8,16.4,33.5,35.6,63.5,76.2,82.5,23.9,48,
Miley, Wade,489119,2016,5.37,62.9,12.8,31.5,35.3,64.3,74,85.7,20.6,46.7,
Quintana, Jose,500779,2016,3.20,64.6,12.4,26.6,33.8,65.7,70,87.2,18.6,45.8,
Pineda, Michael,501381,2016,4.82,66.5,16.7,34.1,54.4,45.3,77.4,82.6,31.1,48.8,
Tillman, Chris,501957,2016,3.77,66.9,17.8,25.9,31.2,67.3,73.4,81.6,21.8,45.7,
Archer, Chris,502042,2016,4.02,63.6,19.3,27.5,53.2,46.4,71.5,80.3,29.6,45.5,
Samardzija, Jeff,502188,2016,3.81,67.9,14.4,29.2,34.7,64.4,75.7,84.5,20.5,48.6,
Leake, Mike,502190,2016,4.69,66.9,8.8,29.8,31,68.1,73.9,89.8,15.9,47.9,
Santiago, Hector,502327,2016,4.70,66.8,16.8,23.2,29.5,69.3,78.8,82.8,19.8,46.2,
Bettis, Chad,518452,2016,4.79,66.4,13.1,28.1,36.5,62.7,80.7,85.5,21.2,45.1,
Bumgarner, Madison,518516,2016,2.74,66.5,18.6,30.5,40.5,58.4,72.4,80.6,25.7,48.1,
Duffy, Danny,518633,2016,3.51,69.5,21.3,30.4,43.1,56.9,80.7,78.1,27.2,51.5,
Moore, Matt,519043,2016,4.08,65.6,18.4,27.3,37.8,61.1,74.3,81,23.9,47,
